,date,au_price,au_open,au_high,au_low,au_change_percent
1049,2015-11-11,"1,089.91","1,091.61","1,094.90","1,085.05",-0.20%
1050,2015-11-10,"1,092.10","1,089.56","1,095.88","1,087.95",0.32%
1051,2015-11-09,"1,088.64","1,103.51","1,110.68","1,084.90",-1.39%
1052,2015-11-06,"1,103.95","1,107.16","1,111.61","1,102.35",-0.32%
1053,2015-11-05,"1,107.44","1,117.25","1,122.85","1,106.00",-0.91%
1054,2015-11-04,"1,117.60","1,133.21","1,138.30","1,114.10",-1.42%
1055,2015-11-03,"1,133.75","1,141.09","1,143.01","1,132.35",-0.76%
1056,2015-11-02,"1,142.38","1,147.66","1,150.47","1,139.11",-0.31%
1057,2015-10-30,"1,145.91","1,155.69","1,162.76","1,144.20",-0.88%
1058,2015-10-29,"1,156.10","1,166.35","1,182.90","1,152.00",-0.93%
1059,2015-10-28,"1,166.95","1,162.56","1,168.90","1,160.51",0.32%
1060,2015-10-27,"1,163.20","1,164.05","1,169.60","1,161.90",-0.09%
1061,2015-10-26,"1,164.26","1,165.21","1,179.80","1,158.77",-0.15%
1062,2015-10-23,"1,166.05","1,166.66","1,172.20","1,162.50",-0.09%
1063,2015-10-22,"1,167.10","1,175.41","1,179.60","1,163.50",-0.77%
1064,2015-10-21,"1,176.11","1,170.60","1,180.70","1,166.75",0.48%
1065,2015-10-20,"1,170.45","1,175.85","1,177.90","1,168.10",-0.57%
1066,2015-10-19,"1,177.20","1,181.91","1,184.50","1,173.95",-0.50%
1067,2015-10-16,"1,183.11","1,183.69","1,191.04","1,175.96",-0.18%
1068,2015-10-15,"1,185.19","1,168.20","1,190.38","1,163.66",1.40%
1069,2015-10-14,"1,168.80","1,163.15","1,169.00","1,151.16",0.41%
1070,2015-10-13,"1,164.00","1,155.31","1,169.40","1,154.50",0.56%
1071,2015-10-12,"1,157.53","1,138.70","1,160.20","1,138.40",1.63%
1072,2015-10-09,"1,138.96","1,145.09","1,151.60","1,136.50",-0.56%
1073,2015-10-08,"1,145.40","1,146.56","1,153.70","1,141.56",-0.15%
1074,2015-10-07,"1,147.11","1,135.25","1,151.61","1,134.70",1.00%
1075,2015-10-06,"1,135.75","1,137.56","1,141.95","1,129.58",-0.21%
1076,2015-10-05,"1,138.14","1,113.68","1,141.90","1,104.12",2.21%
1077,2015-10-02,"1,113.55","1,114.76","1,119.29","1,110.75",-0.13%
1078,2015-10-01,"1,115.00","1,127.06","1,128.20","1,111.60",-1.11%
1079,2015-09-30,"1,127.46","1,131.85","1,134.90","1,123.95",-0.41%
1080,2015-09-29,"1,132.05","1,145.40","1,148.30","1,127.70",-1.24%
1081,2015-09-28,"1,146.24","1,150.59","1,151.18","1,140.45",-0.67%
1082,2015-09-25,"1,154.01","1,130.21","1,156.70","1,130.05",2.09%
1083,2015-09-24,"1,130.40","1,123.70","1,134.40","1,121.35",0.50%
1084,2015-09-23,"1,124.80","1,132.96","1,136.60","1,120.98",-0.75%
1085,2015-09-22,"1,133.30","1,139.20","1,140.10","1,129.80",-0.54%
1086,2015-09-21,"1,139.40","1,130.45","1,141.90","1,126.90",0.71%
1087,2015-09-18,"1,131.40","1,118.69","1,133.40","1,115.20",1.06%
1088,2015-09-17,"1,119.55","1,105.10","1,124.70","1,103.55",1.28%
1089,2015-09-16,"1,105.40","1,107.79","1,109.80","1,102.51",-0.31%
1090,2015-09-15,"1,108.80","1,107.40","1,110.70","1,103.00",0.08%
1091,2015-09-14,"1,107.90","1,111.16","1,113.40","1,098.35",-0.33%
1092,2015-09-11,"1,111.55","1,106.41","1,115.30","1,103.60",0.49%
1093,2015-09-10,"1,106.10","1,121.56","1,125.80","1,101.11",-1.40%
1094,2015-09-09,"1,121.80","1,118.90","1,126.80","1,118.05",0.21%
1095,2015-09-08,"1,119.47","1,122.85","1,124.88","1,116.20",-0.31%
1096,2015-09-07,"1,123.00","1,124.85","1,130.20","1,116.75",-0.20%
1097,2015-09-04,"1,125.25","1,133.61","1,134.50","1,121.35",-0.78%
1098,2015-09-03,"1,134.05","1,139.09","1,143.00","1,131.91",-0.53%
